"guideline","category","title","publication_date","extension","url","title_clean","publication_date_clean","extension_clean","filename","folder","full_path","downloaded","download_status","error"
"CG141","Acute upper GI bleeding: scoping workshop, consultation and final scope","Acute upper GI bleeding: final scope","02 June 2010","pdf","https://www.nice.org.uk/guidance/cg141/documents/acute-upper-gi-bleeding-final-scope2","Acute_upper_GI_bleeding_final_scope","02_June_2010","pdf","Acute_upper_GI_bleeding_final_scope_02_June_2010.pdf","D:/NICE_history/CG141","D:/NICE_history/CG141/Acute_upper_GI_bleeding_final_scope_02_June_2010.pdf",TRUE,"downloaded",
"CG141","Acute upper GI bleeding: scoping workshop, consultation and final scope","Acute upper GI bleeding: scope comments table","04 June 2010","pdf","https://www.nice.org.uk/guidance/cg141/documents/acute-upper-gi-bleeding-scope-comments-table2","Acute_upper_GI_bleeding_scope_comments_table","04_June_2010","pdf","Acute_upper_GI_bleeding_scope_comments_table_04_June_2010.pdf","D:/NICE_history/CG141","D:/NICE_history/CG141/Acute_upper_GI_bleeding_scope_comments_table_04_June_2010.pdf",TRUE,"downloaded",
"CG141","Acute upper GI bleeding: scoping workshop, consultation and final scope","Acute upper GI bleeding: stakeholder scoping workshop notes","16 March 2010","pdf","https://www.nice.org.uk/guidance/cg141/documents/acute-upper-gi-bleeding-stakeholder-scoping-workshop-notes2","Acute_upper_GI_bleeding_stakeholder_scoping_workshop_notes","16_March_2010","pdf","Acute_upper_GI_bleeding_stakeholder_scoping_workshop_notes_16_March_2010.pdf","D:/NICE_history/CG141","D:/NICE_history/CG141/Acute_upper_GI_bleeding_stakeholder_scoping_workshop_notes_16_March_2010.pdf",TRUE,"downloaded",
"CG141","Other information","CG141 Acute upper GI bleeding: evidence update","01 August 2014","pdf","https://www.nice.org.uk/guidance/cg141/documents/cg141-acute-upper-gi-bleeding-evidence-update2","CG141_Acute_upper_GI_bleeding_evidence_update","01_August_2014","pdf","CG141_Acute_upper_GI_bleeding_evidence_update_01_August_2014.pdf","D:/NICE_history/CG141","D:/NICE_history/CG141/CG141_Acute_upper_GI_bleeding_evidence_update_01_August_2014.pdf",TRUE,"downloaded",
"CG141","Review documents","CG141 Acute upper GI bleeding: review decision","22 August 2014","pdf","https://www.nice.org.uk/guidance/cg141/documents/cg141-acute-upper-gi-bleeding-review-decision2","CG141_Acute_upper_GI_bleeding_review_decision","22_August_2014","pdf","CG141_Acute_upper_GI_bleeding_review_decision_22_August_2014.pdf","D:/NICE_history/CG141","D:/NICE_history/CG141/CG141_Acute_upper_GI_bleeding_review_decision_22_August_2014.pdf",TRUE,"downloaded",
"CG141","Stakeholder list updated","Stakeholder list","29 November 2018","pdf","https://www.nice.org.uk/guidance/cg141/documents/stakeholder-list-2","Stakeholder_list","29_November_2018","pdf","Stakeholder_list_29_November_2018.pdf","D:/NICE_history/CG141","D:/NICE_history/CG141/Stakeholder_list_29_November_2018.pdf",TRUE,"downloaded",
"CG141","Surveillance consultation","Comments form","12 October 2018","docx","https://www.nice.org.uk/guidance/cg141/documents/comments-form-2","Comments_form","12_October_2018","docx","Comments_form_12_October_2018.docx","D:/NICE_history/CG141","D:/NICE_history/CG141/Comments_form_12_October_2018.docx",TRUE,"downloaded",
"CG141","Surveillance consultation","Surveillance review proposal","12 October 2018","pdf","https://www.nice.org.uk/guidance/cg141/documents/surveillance-review-proposal-2","Surveillance_review_proposal","12_October_2018","pdf","Surveillance_review_proposal_12_October_2018.pdf","D:/NICE_history/CG141","D:/NICE_history/CG141/Surveillance_review_proposal_12_October_2018.pdf",TRUE,"downloaded",
"CG141","Surveillance consultation","Comments form","27 June 2016","docx","https://www.nice.org.uk/guidance/cg141/documents/comments-form","Comments_form","27_June_2016","docx","Comments_form_27_June_2016.docx","D:/NICE_history/CG141","D:/NICE_history/CG141/Comments_form_27_June_2016.docx",TRUE,"downloaded",
"CG141","Surveillance consultation","Surveillance review proposal","27 June 2016","pdf","https://www.nice.org.uk/guidance/cg141/documents/surveillance-review-proposal","Surveillance_review_proposal","27_June_2016","pdf","Surveillance_review_proposal_27_June_2016.pdf","D:/NICE_history/CG141","D:/NICE_history/CG141/Surveillance_review_proposal_27_June_2016.pdf",TRUE,"downloaded",
"PH38","Addendum consultation","Short version of addendum","20 June 2017","pdf","https://www.nice.org.uk/guidance/ph38/documents/short-version-of-addendum-2","Short_version_of_addendum","20_June_2017","pdf","Short_version_of_addendum_20_June_2017.pdf","D:/NICE_history/PH38","D:/NICE_history/PH38/Short_version_of_addendum_20_June_2017.pdf",TRUE,"downloaded",
"PH38","Addendum consultation","Comments form","23 May 2017","docx","https://www.nice.org.uk/guidance/ph38/documents/comments-form","Comments_form","23_May_2017","docx","Comments_form_23_May_2017.docx","D:/NICE_history/PH38","D:/NICE_history/PH38/Comments_form_23_May_2017.docx",TRUE,"downloaded",
"PH38","Addendum consultation","Committee member list and DOIs","23 May 2017","pdf","https://www.nice.org.uk/guidance/ph38/documents/committee-member-list-2","Committee_member_list_and_DOIs","23_May_2017","pdf","Committee_member_list_and_DOIs_23_May_2017.pdf","D:/NICE_history/PH38","D:/NICE_history/PH38/Committee_member_list_and_DOIs_23_May_2017.pdf",TRUE,"downloaded",
